peak.position	peak	old.mapping	new.mapping	old.insideFeature	new.insideFeature	old.distance	new.distance	mapping.changed	randoms
chrII:14048969-14049624	ELT2peak03030	Y73B3A.1 (WBGene00022203)	rpb-11 (WBGene00012187)	unmapped ± 5Kb	unmapped	30900	10437	TRUE	2243
chrX:1322974-1323699	ELT2peak08328	map-2 (WBGene00003130)	pdk-1 (WBGene00003965)	downstream	inside	1855	1621	TRUE	2244
chrIV:9706644-9707158	ELT2peak05601	M01A8.1 (WBGene00010795)	dph-3 (WBGene00010484)	inside	overlapStart	1085	10	TRUE	2245
chrV:20495260-20496348	ELT2peak08180	Y57G11C.5 (WBGene00013303)	B0250.5 (WBGene00007122)	inside	inside	361	1000	TRUE	2246
chrI:1345965-1346773	ELT2peak00097	F56H9.2 (WBGene00010174)	K12C11.1 (WBGene00019673)	overlapEnd	upstream	216	1273	TRUE	2247
chrX:15088461-15088939	ELT2peak09989	F22H10.3 (WBGene00017727)	F09B12.5 (WBGene00008609)	overlapEnd	downstream	4	326	TRUE	2248
chrIII:12399583-12400337	ELT2peak04526	Y71H2AM.11 (WBGene00022176)	tat-1 (WBGene00013034)	overlapStart	inside	323	682	TRUE	2249
chrI:9428552-9430000	ELT2peak00954	F13G3.10 (WBGene00008768)	C17E4.6 (WBGene00007645)	overlapStart	inside	27	1120	TRUE	2250
chrX:17231237-17233330	ELT2peak10213	rskd-1 (WBGene00010096)	T25G12.3 (WBGene00020811)	inside	overlapStart	1682	553	TRUE	2251
chrIII:9545951-9547089	ELT2peak04224	Y50D7A.1 (WBGene00021751)	unc-16 (WBGene00006755)	unmapped ± 5Kb	overlapStart	6513	307	TRUE	2252
chrIII:9824436-9824914	ELT2peak04270	ceeh-1 (WBGene00019329)	lin-52 (WBGene00003035)	overlapStart	overlapStart	100	164	TRUE	2253
chrV:4720823-4721377	ELT2peak06566	K07E3.4 (WBGene00019492)	prx-6 (WBGene00004195)	overlapStart	upstream	561	675	TRUE	2254
chrX:4265547-4266229	ELT2peak08639	alh-5 (WBGene00000111)	coel-1 (WBGene00016866)	upstream	overlapStart	5	304	TRUE	2255
chrV:5433011-5433532	ELT2peak06624	nstp-6 (WBGene00015038)	acl-6 (WBGene00017261)	upstream	overlapStart	614	140	TRUE	2256
chrX:874007-874502	ELT2peak08290	H25K10.1 (WBGene00010411)	F56F10.1 (WBGene00018984)	overlapStart	inside	240	1446	TRUE	2257
chrIV:13008336-13009251	ELT2peak06011	Y75B8A.6 (WBGene00013543)	mbk-2 (WBGene00003150)	overlapEnd	overlapStart	593	135	TRUE	2258
chrX:3238272-3239996	ELT2peak08521	F48G7.10 (WBGene00018621)	irg-7 (WBGene00018237)	downstream	inside	1903	2504	TRUE	2259
chrIII:10215354-10217373	ELT2peak04313	chin-1 (WBGene00015267)	cts-1 (WBGene00000833)	overlapStart	overlapStart	83	540	TRUE	2260
chrII:5335326-5336007	ELT2peak01912	rpoa-49 (WBGene00017749)	vhp-1 (WBGene00006923)	overlapStart	inside	267	4819	TRUE	2261
chrV:11007530-11008313	ELT2peak07271	memb-1 (WBGene00007128)	C13G3.1 (WBGene00007553)	overlapStart	downstream	162	3276	TRUE	2262
chrI:12039637-12040615	ELT2peak01189	mcm-3 (WBGene00003155)	F58D5.5 (WBGene00010244)	overlapStart	upstream	115	420	TRUE	2263
chrV:9507664-9508261	ELT2peak07073	T05A12.3 (WBGene00020234)	acs-14 (WBGene00008669)	overlapStart	overlapStart	33	182	TRUE	2264
chrI:10875924-10876602	ELT2peak01124	ran-4 (WBGene00004305)	bath-25 (WBGene00020859)	upstream	overlapStart	257	285	TRUE	2265
chrV:12824727-12825536	ELT2peak07503	npp-1 (WBGene00003787)	ugt-16 (WBGene00013901)	overlapStart	overlapStart	255	297	TRUE	2266
chrV:13266593-13267082	ELT2peak07559	unc-43 (WBGene00006779)	zip-5 (WBGene00007932)	unmapped ± 5Kb	inside	5285	2047	TRUE	2267
chrX:15540932-15541651	ELT2peak10035	ccch-1 (WBGene00009532)	olrn-1 (WBGene00007260)	inside	inside	4280	3270	TRUE	2268
chrV:8935087-8935788	ELT2peak06996	C13E3.1 (WBGene00015740)	unc-23 (WBGene00006760)	upstream	upstream	1047	571	TRUE	2269
chrII:4941531-4942132	ELT2peak01828	gpdh-1 (WBGene00009824)	ZK546.19 (WBGene00195246)	overlapStart	overlapStart	138	186	TRUE	2270
chrIV:5317110-5317588	ELT2peak05127	sto-2 (WBGene00006064)	msp-65 (WBGene00003458)	inside	downstream	3504	166	TRUE	2271
chrI:8245323-8246066	ELT2peak00816	tre-1 (WBGene00006607)	ceh-8 (WBGene00000433)	overlapStart	overlapEnd	292	344	TRUE	2272
chrX:8014323-8015045	ELT2peak09106	bcl-11 (WBGene00017430)	C34D10.2 (WBGene00016407)	inside	overlapStart	685	62	TRUE	2273
chrI:3827193-3828734	ELT2peak00298	supr-1 (WBGene00022124)	F53F10.8 (WBGene00044423)	overlapStart	overlapStart	157	495	TRUE	2274
chrV:16000440-16000912	ELT2peak07849	T12G3.2 (WBGene00011738)	nhr-50 (WBGene00003640)	overlapStart	overlapStart	295	213	TRUE	2275
chrX:10903478-10904261	ELT2peak09458	ZC190.4 (WBGene00022538)	acbp-3 (WBGene00009818)	unmapped ± 5Kb	inside	7229	200	TRUE	2276
chrIV:14617471-14617970	ELT2peak06121	Y37D8A.16 (WBGene00012554)	dmd-6 (WBGene00007058)	inside	inside	199	868	TRUE	2277
chrX:6725190-6725867	ELT2peak08955	C18C4.7 (WBGene00015968)	slc-25A10 (WBGene00019656)	unmapped ± 5Kb	overlapStart	8017	199	TRUE	2278
chrIV:13602288-13603200	ELT2peak06055	aakg-1 (WBGene00013732)	Y45F10B.59 (WBGene00194917)	inside	overlapStart	4567	64	TRUE	2279
chrV:17615784-17616292	ELT2peak07962	clc-4 (WBGene00000525)	Y6G8.5 (WBGene00044207)	overlapEnd	upstream	80	75	TRUE	2280
chrII:12997543-12998032	ELT2peak02902	egl-27 (WBGene00001194)	Y38F1A.7 (WBGene00012609)	inside	overlapStart	715	228	TRUE	2281
chrV:11206814-11207308	ELT2peak07300	C28C12.11 (WBGene00016181)	K10D6.4 (WBGene00010744)	overlapEnd	inside	22	4909	TRUE	2282
chrI:4322266-4322830	ELT2peak00352	rnp-6 (WBGene00004389)	anc-1 (WBGene00000140)	overlapStart	inside	144	4233	TRUE	2283
chrII:15025655-15026230	ELT2peak03109	zyg-11 (WBGene00006996)	Y53F4B.13 (WBGene00013160)	upstream	overlapStart	494	93	TRUE	2284
chrIV:390254-390926	ELT2peak04703	F37A8.5 (WBGene00009503)	ears-2 (WBGene00001338)	upstream	overlapStart	3906	214	TRUE	2285
chrX:14846905-14847582	ELT2peak09966	Y42A5A.1 (WBGene00012776)	egrh-1 (WBGene00007772)	upstream	inside	402	968	TRUE	2286
chrX:4564591-4565379	ELT2peak08682	irld-15 (WBGene00021232)	amt-4 (WBGene00000136)	upstream	overlapStart	4323	77	TRUE	2287
chrI:3546760-3547706	ELT2peak00268	W03D8.2 (WBGene00020985)	rnp-6 (WBGene00004389)	overlapStart	overlapStart	108	144	TRUE	2288
chrIV:14932416-14933229	ELT2peak06140	Y39E4B.6 (WBGene00012717)	Y57G11C.1131 (WBGene00194661)	upstream	overlapStart	654	257	TRUE	2289
chrV:9786502-9787252	ELT2peak07108	C34D4.4 (WBGene00016400)	F46B6.6 (WBGene00009771)	upstream	overlapStart	1128	366	TRUE	2290
chrIII:5863639-5864332	ELT2peak03753	F13D12.8 (WBGene00008742)	dnpp-1 (WBGene00017163)	inside	overlapStart	212	69	TRUE	2291
chrII:11632726-11633544	ELT2peak02786	C32D5.7 (WBGene00016315)	din-1 (WBGene00008549)	overlapStart	inside	117	65	TRUE	2292
chrX:3820675-3821347	ELT2peak08588	tag-304 (WBGene00018757)	fkh-9 (WBGene00001441)	downstream	inside	405	3824	TRUE	2293
chrIV:16206302-16206770	ELT2peak06200	F46H5.4 (WBGene00018520)	H25K10.1 (WBGene00010411)	overlapStart	downstream	388	981	TRUE	2294
chrIV:10284492-10284986	ELT2peak05666	W05H9.4 (WBGene00021051)	rad-51 (WBGene00004297)	unmapped ± 5Kb	upstream	8792	248	TRUE	2295
chrII:6631941-6632466	ELT2peak02128	gba-2 (WBGene00016340)	T19D12.4 (WBGene00020579)	upstream	inside	22	836	TRUE	2296
chrIII:9443371-9443856	ELT2peak04209	pals-24 (WBGene00016219)	F54C8.4 (WBGene00010037)	inside	overlapStart	263	222	TRUE	2297
chrI:6572678-6573146	ELT2peak00625	C50B8.6 (WBGene00008228)	ipgm-1 (WBGene00019001)	upstream	downstream	1436	80	TRUE	2298
chrIII:4653437-4654151	ELT2peak03592	lact-3 (WBGene00010897)	ppm-2 (WBGene00011953)	inside	overlapEnd	823	222	TRUE	2299
chrIV:7260566-7261068	ELT2peak05321	cgh-1 (WBGene00000479)	C06E4.3 (WBGene00015532)	overlapEnd	overlapStart	519	193	TRUE	2300
chrII:10384619-10385300	ELT2peak02631	Y113G7A.13 (WBGene00013750)	ztf-27 (WBGene00011661)	upstream	upstream	89	33	TRUE	2301
chrIII:9827183-9828290	ELT2peak04272	zip-2 (WBGene00019327)	ZK632.11 (WBGene00014018)	overlapStart	overlapStart	247	375	TRUE	2302
chrIV:11952591-11953266	ELT2peak05881	spat-2 (WBGene00012973)	gdh-1 (WBGene00014095)	unmapped ± 5Kb	overlapStart	7802	17	TRUE	2303
chrIII:10844761-10845568	ELT2peak04387	Y82E9BR.1 (WBGene00022334)	pde-12 (WBGene00011268)	overlapEnd	overlapStart	54	259	TRUE	2304
chrII:9658870-9659338	ELT2peak02552	EGAP2.2 (WBGene00017148)	ZK1320.2 (WBGene00014252)	upstream	overlapStart	1352	132	TRUE	2305
chrV:1555155-1555743	ELT2peak06384	ZK154.5 (WBGene00022667)	srsx-8 (WBGene00018709)	overlapStart	upstream	45	2053	TRUE	2306
chrV:7746695-7747385	ELT2peak06864	F53A9.8 (WBGene00018731)	T05B11.1 (WBGene00020245)	overlapEnd	upstream	69	1478	TRUE	2307
chrIV:2111473-2112168	ELT2peak04836	pal-1 (WBGene00003912)	C23H5.8 (WBGene00016027)	inside	overlapEnd	1835	274	TRUE	2308
chrII:4706328-4706796	ELT2peak01780	Y87G2A.2 (WBGene00013594)	F10G7.9 (WBGene00017372)	upstream	overlapStart	214	170	TRUE	2309
chrIII:7860821-7861289	ELT2peak04013	mcd-1 (WBGene00013096)	cuc-1 (WBGene00000835)	overlapStart	overlapStart	269	183	TRUE	2310
chrV:20165772-20166433	ELT2peak08149	F08B12.4 (WBGene00008572)	F19B2.5 (WBGene00008944)	upstream	upstream	142	1211	TRUE	2311
chrII:8385530-8386015	ELT2peak02369	nceh-1 (WBGene00012810)	F49E12.12 (WBGene00009904)	overlapStart	downstream	35	1625	TRUE	2312
chrII:2889124-2889936	ELT2peak01642	pri-2 (WBGene00004181)	sqv-2 (WBGene00005020)	overlapStart	inside	80	20	TRUE	2313
chrII:13159672-13161223	ELT2peak02917	C44B7.12 (WBGene00016632)	moe-3 (WBGene00003388)	overlapStart	overlapEnd	171	678	TRUE	2314
chrIII:13678692-13679158	ELT2peak04647	C14B1.3 (WBGene00007574)	dyf-2 (WBGene00001118)	overlapStart	inside	239	3775	TRUE	2315
chrX:5243287-5243755	ELT2peak08756	T24A6.20 (WBGene00020756)	mtm-5 (WBGene00003477)	overlapStart	overlapStart	274	121	TRUE	2316
chrII:14399517-14400130	ELT2peak03055	lir-2 (WBGene00003045)	nurf-1 (WBGene00009180)	inside	inside	1357	7775	TRUE	2317
chrIV:9537488-9538155	ELT2peak05583	odd-2 (WBGene00003846)	fbl-1 (WBGene00001403)	overlapEnd	upstream	151	2653	TRUE	2318
chrV:13580639-13581311	ELT2peak07604	R09H10.5 (WBGene00011182)	C50B8.5 (WBGene00008227)	overlapStart	overlapStart	106	318	TRUE	2319
chrII:410820-411372	ELT2peak01446	F59C6.11 (WBGene00010328)	dnsn-1 (WBGene00016074)	overlapStart	overlapStart	424	141	TRUE	2320
chrX:6885327-6886013	ELT2peak08989	fkh-3 (WBGene00001435)	F41C6.7 (WBGene00018280)	downstream	upstream	138	50	TRUE	2321
chrIV:9734851-9735329	ELT2peak05605	clip-1 (WBGene00010796)	cka-1 (WBGene00000509)	inside	inside	445	2292	TRUE	2322
chrI:13561930-13562426	ELT2peak01314	T05F1.11 (WBGene00011495)	Y87G2A.16 (WBGene00013602)	overlapStart	inside	104	1039	TRUE	2323
chrV:5274913-5275990	ELT2peak06614	mai-2 (WBGene00015248)	natc-2 (WBGene00015074)	overlapEnd	overlapEnd	129	375	TRUE	2324
chrX:6253815-6254856	ELT2peak08884	F46G10.1 (WBGene00009796)	W05H9.4 (WBGene00021051)	overlapStart	unmapped	258	8792	TRUE	2325
chrI:4928173-4928852	ELT2peak00417	unc-73 (WBGene00006805)	acl-11 (WBGene00017888)	unmapped ± 5Kb	overlapStart	5871	198	TRUE	2326
chrIV:11916845-11917257	ELT2peak05877	Y48A6B.9 (WBGene00012970)	ZK822.10 (WBGene00219456)	overlapEnd	overlapStart	33	34	TRUE	2327
chrV:13803844-13804609	ELT2peak07642	T11G6.2 (WBGene00011717)	swan-2 (WBGene00009976)	overlapStart	overlapStart	36	327	TRUE	2328
chrIII:12932683-12933209	ELT2peak04578	vha-12 (WBGene00006921)	rbm-7 (WBGene00012558)	overlapStart	upstream	112	816	TRUE	2329
chrIII:11726960-11727716	ELT2peak04466	T22B2.6 (WBGene00020670)	Y41C4A.12 (WBGene00012758)	overlapEnd	upstream	13	270	TRUE	2330
chrIV:4482551-4483210	ELT2peak05065	frm-2 (WBGene00001489)	M01H9.4 (WBGene00019720)	inside	overlapStart	47	213	TRUE	2331
chrIV:12728037-12728827	ELT2peak05962	crh-1 (WBGene00000793)	rbd-1 (WBGene00004315)	unmapped ± 5Kb	inside	8385	1268	TRUE	2332
chrX:13751033-13752115	ELT2peak09830	lpd-9 (WBGene00003065)	nhr-71 (WBGene00003661)	overlapStart	overlapEnd	134	338	TRUE	2333
chrIV:7451428-7452184	ELT2peak05336	upp-1 (WBGene00022817)	tes-1 (WBGene00015217)	upstream	overlapStart	971	17	TRUE	2334
chrIII:13310473-13311161	ELT2peak04610	C34C12.9 (WBGene00007928)	Y43F4B.7 (WBGene00012804)	overlapEnd	inside	153	2228	TRUE	2335
chrV:8445420-8446271	ELT2peak06949	R04E5.9 (WBGene00019872)	T23B12.5 (WBGene00020720)	overlapStart	downstream	214	337	TRUE	2336
chrII:713350-714044	ELT2peak01458	ubc-25 (WBGene00006720)	T02H6.1 (WBGene00020171)	downstream	inside	21	3969	TRUE	2337
chrX:12449161-12449652	ELT2peak09639	kin-20 (WBGene00002203)	T18D3.6 (WBGene00011823)	inside	upstream	3683	244	TRUE	2338
chrX:4443969-4444601	ELT2peak08654	F22F7.7 (WBGene00017724)	mltn-13 (WBGene00017794)	inside	inside	1107	1817	TRUE	2339
chrIII:1937953-1939427	ELT2peak03306	C07H4.1 (WBGene00007421)	pqn-41 (WBGene00004128)	inside	inside	163	141	TRUE	2340
chrIII:12673283-12673829	ELT2peak04559	daf-2 (WBGene00000898)	taf-7.2 (WBGene00006389)	inside	overlapStart	3086	138	TRUE	2341
chrIV:7187052-7187737	ELT2peak05313	trd-1 (WBGene00020600)	C42D4.13 (WBGene00016598)	inside	overlapEnd	1026	137	TRUE	2342
chrII:12892374-12892842	ELT2peak02884	Y44A6C.1 (WBGene00012850)	clec-62 (WBGene00009393)	upstream	downstream	1054	223	TRUE	2343
chrI:7544782-7546206	ELT2peak00740	cld-9 (WBGene00009432)	dcp-66 (WBGene00000938)	overlapStart	upstream	172	2625	TRUE	2344
chrX:6049936-6050658	ELT2peak08849	K08H2.7 (WBGene00010693)	pak-1 (WBGene00003911)	overlapEnd	upstream	118	1326	TRUE	2345
chrV:16081662-16082166	ELT2peak07860	daf-12 (WBGene00000908)	srj-29 (WBGene00005616)	upstream	downstream	4505	4354	TRUE	2346
chrV:3482553-3483019	ELT2peak06496	vha-3 (WBGene00006912)	lys-7 (WBGene00003096)	overlapStart	overlapStart	38	47	TRUE	2347
chrX:13038719-13039406	ELT2peak09717	usp-33 (WBGene00010702)	C53C7.3 (WBGene00008279)	inside	unmapped	659	9152	TRUE	2348
chrI:5385599-5386237	ELT2peak00479	Y119C1B.6 (WBGene00022472)	C24A11.5 (WBGene00016042)	overlapEnd	overlapStart	357	138	TRUE	2349
chrII:5803102-5803647	ELT2peak01998	T13B5.9 (WBGene00020476)	K05F1.1 (WBGene00019405)	inside	inside	150	33	TRUE	2350
chrI:2190372-2191052	ELT2peak00152	lsm-6 (WBGene00003080)	afd-1 (WBGene00021009)	overlapStart	inside	79	18577	TRUE	2351
chrI:9624247-9625096	ELT2peak00973	dcp-66 (WBGene00000938)	rps-19 (WBGene00004488)	upstream	inside	2625	700	TRUE	2352
chrIV:9322350-9323073	ELT2peak05555	ZK643.2 (WBGene00014034)	F49C12.14 (WBGene00009883)	overlapStart	overlapEnd	222	139	TRUE	2353
chrV:20909701-20910212	ELT2peak08226	T25C12.3 (WBGene00012018)	ttll-9 (WBGene00044187)	overlapEnd	upstream	144	255	TRUE	2354
chrIII:13346662-13347392	ELT2peak04613	C34C12.9 (WBGene00007928)	mtm-6 (WBGene00003478)	upstream	overlapStart	679	307	TRUE	2355
chrX:10188338-10189225	ELT2peak09368	sel-9 (WBGene00004766)	myrf-2 (WBGene00008999)	overlapStart	inside	103	5152	TRUE	2356
chrIII:13069383-13070102	ELT2peak04592	hpk-1 (WBGene00001994)	Y39E4B.6 (WBGene00012717)	inside	upstream	1097	654	TRUE	2357
chrX:17478471-17479344	ELT2peak10240	F31A3.5 (WBGene00017939)	npr-24 (WBGene00020086)	overlapStart	downstream	40	3668	TRUE	2358
chrII:7059092-7059950	ELT2peak02202	Y51A2D.13 (WBGene00013080)	cth-2 (WBGene00022856)	inside	upstream	2053	1078	TRUE	2359
chrIV:10971516-10972238	ELT2peak05750	asp-14 (WBGene00019619)	Y69E1A.8 (WBGene00013478)	inside	downstream	978	3350	TRUE	2360
chrX:14938161-14938906	ELT2peak09972	mboa-2 (WBGene00010408)	mrp-5 (WBGene00003411)	overlapStart	overlapEnd	301	341	TRUE	2361
chrII:5691009-5691897	ELT2peak01978	alg-2 (WBGene00000106)	eif-2D (WBGene00016113)	overlapStart	overlapStart	191	235	TRUE	2362
chrX:7124029-7124687	ELT2peak09008	tre-4 (WBGene00006610)	ist-1 (WBGene00002163)	overlapStart	upstream	116	1961	TRUE	2363
chrX:7727477-7727997	ELT2peak09082	mrck-1 (WBGene00006437)	vit-1 (WBGene00006925)	upstream	overlapStart	68	108	TRUE	2364
chrV:12917014-12917702	ELT2peak07515	uba-1 (WBGene00006699)	nid-1 (WBGene00003738)	overlapEnd	overlapEnd	327	184	TRUE	2365
chrX:5465512-5466978	ELT2peak08785	cyp-35A5 (WBGene00019473)	ddr-1 (WBGene00016104)	overlapStart	overlapEnd	273	668	TRUE	2366
chrIV:9235369-9236113	ELT2peak05548	lin-9 (WBGene00002998)	Y11D7A.3 (WBGene00012428)	downstream	inside	35	2341	TRUE	2367
chrV:13459256-13459960	ELT2peak07586	tax-6 (WBGene00006527)	bath-39 (WBGene00009137)	inside	overlapStart	1156	269	TRUE	2368
chrX:16040136-16041035	ELT2peak10079	C30E1.2 (WBGene00016251)	B0395.3 (WBGene00007175)	downstream	upstream	1432	622	TRUE	2369
chrV:12539363-12540461	ELT2peak07474	tsp-21 (WBGene00023491)	F45D3.2 (WBGene00009722)	overlapStart	upstream	48	579	TRUE	2370
chrV:5119736-5120001	ELT2peak06601	zip-11 (WBGene00021082)	sid-1 (WBGene00004795)	overlapStart	overlapStart	257	62	TRUE	2371
chrV:4820621-4821303	ELT2peak06575	Y67D8C.3 (WBGene00022067)	adss-1 (WBGene00016509)	inside	inside	1429	1920	TRUE	2372
chrIII:5318607-5319275	ELT2peak03677	pigm-1 (WBGene00007189)	pqe-1 (WBGene00004095)	overlapStart	inside	89	2457	TRUE	2373
chrIII:13409362-13410906	ELT2peak04617	M01F1.3 (WBGene00010809)	myo-6 (WBGene00009730)	overlapStart	overlapStart	176	533	TRUE	2374
chrX:12146000-12146231	ELT2peak09608	ucr-2.2 (WBGene00011679)	M153.5 (WBGene00045481)	overlapStart	downstream	64	60	TRUE	2375
chrII:11423909-11425382	ELT2peak02747	egl-44 (WBGene00001208)	C05D12.3 (WBGene00014666)	inside	overlapStart	3478	552	TRUE	2376
chrX:17434185-17434885	ELT2peak10233	frm-7 (WBGene00001493)	fubl-3 (WBGene00016489)	inside	overlapStart	889	260	TRUE	2377
chrIII:601847-602330	ELT2peak03176	ifc-2 (WBGene00002056)	Y55B1AR.3 (WBGene00021907)	inside	downstream	581	378	TRUE	2378
chrX:4284478-4284797	ELT2peak08644	ckb-4 (WBGene00000514)	ets-10 (WBGene00016870)	overlapStart	inside	204	104	TRUE	2379
chrIII:3870831-3871620	ELT2peak03492	lact-2 (WBGene00014164)	tir-1 (WBGene00006575)	inside	inside	363	1240	TRUE	2380
chrV:1383091-1384602	ELT2peak06372	C50A2.3 (WBGene00016797)	rga-4 (WBGene00022286)	downstream	overlapStart	2480	163	TRUE	2381
chrV:19450357-19450904	ELT2peak08096	tlp-1 (WBGene00006580)	M04C3.5 (WBGene00206418)	upstream	inside	3651	10	TRUE	2382
chrV:16591966-16592809	ELT2peak07900	gex-3 (WBGene00001580)	srh-269 (WBGene00005475)	overlapStart	overlapStart	395	76	TRUE	2383
chrII:2186456-2186649	ELT2peak01584	str-109 (WBGene00006161)	gba-2 (WBGene00016340)	downstream	upstream	3	22	TRUE	2384
chrIII:10719959-10720704	ELT2peak04366	C18B2.5 (WBGene00015956)	tat-3 (WBGene00012360)	inside	downstream	1129	1444	TRUE	2385
chrV:16024041-16024750	ELT2peak07851	rbm-34 (WBGene00008688)	T10C6.6 (WBGene00011688)	overlapEnd	overlapStart	101	285	TRUE	2386
chrV:10536800-10537357	ELT2peak07205	apa-2 (WBGene00000161)	ppm-1.A (WBGene00006460)	inside	upstream	934	412	TRUE	2387
chrI:4584562-4585149	ELT2peak00378	sld-2 (WBGene00020466)	rpl-24.1 (WBGene00004436)	overlapStart	overlapStart	79	34	TRUE	2388
chrX:2226971-2227941	ELT2peak08399	col-181 (WBGene00000754)	hex-1 (WBGene00020509)	overlapEnd	downstream	101	351	TRUE	2389
chrII:7857359-7858102	ELT2peak02304	sea-2 (WBGene00004751)	T09A5.15 (WBGene00011641)	inside	overlapStart	2807	232	TRUE	2390
chrV:6664783-6665274	ELT2peak06797	ZK185.3 (WBGene00022683)	pmp-5 (WBGene00004062)	overlapEnd	inside	468	539	TRUE	2391
chrIII:11657061-11657839	ELT2peak04460	ppk-2 (WBGene00004088)	crh-1 (WBGene00000793)	overlapEnd	overlapStart	580	101	TRUE	2392
chrX:10144938-10145704	ELT2peak09364	E02H4.7 (WBGene00077757)	unc-115 (WBGene00006839)	overlapStart	upstream	157	1185	TRUE	2393
chrX:17505606-17506414	ELT2peak10245	H18N23.2 (WBGene00019211)	nhr-1 (WBGene00003600)	inside	unmapped	3797	12031	TRUE	2394
chrIV:17287981-17289173	ELT2peak06255	daf-1 (WBGene00000897)	slc-17.4 (WBGene00012130)	overlapEnd	overlapEnd	175	190	TRUE	2395
chrIII:5741388-5742160	ELT2peak03735	din-1 (WBGene00008549)	B0244.16 (WBGene00271577)	upstream	inside	469	422	TRUE	2396
chrX:1091354-1092365	ELT2peak08311	smcl-1 (WBGene00008085)	pigx-1 (WBGene00018634)	overlapStart	downstream	22	3182	TRUE	2397
chrX:1503518-1504252	ELT2peak08356	Y62H9A.12 (WBGene00013400)	F09E10.1 (WBGene00017294)	upstream	downstream	1429	240	TRUE	2398
chrX:17714261-17714791	ELT2peak10270	egl-10 (WBGene00001179)	6R55.2 (WBGene00007069)	overlapStart	overlapStart	53	41	TRUE	2399
chrX:16612174-16612959	ELT2peak10132	B0302.5 (WBGene00015122)	ain-1 (WBGene00015547)	upstream	upstream	2747	492	TRUE	2400
chrII:4881511-4882411	ELT2peak01810	maea-1 (WBGene00012366)	gst-7 (WBGene00001755)	overlapStart	overlapStart	428	349	TRUE	2401
chrV:5509625-5510675	ELT2peak06629	ltah-1.2 (WBGene00022610)	hpo-15 (WBGene00016061)	inside	overlapEnd	662	309	TRUE	2402
chrIV:4024177-4025016	ELT2peak04999	rpl-23 (WBGene00004435)	hlh-30 (WBGene00020930)	upstream	inside	6	9378	TRUE	2403
chrX:11974654-11975161	ELT2peak09593	F36D4.5 (WBGene00018090)	set-6 (WBGene00008206)	inside	overlapStart	645	25	TRUE	2404
chrX:12681485-12682081	ELT2peak09673	F46B6.6 (WBGene00009771)	adt-1 (WBGene00000082)	overlapStart	inside	366	2653	TRUE	2405
chrIII:8797216-8797999	ELT2peak04137	rbm-28 (WBGene00011043)	zfp-1 (WBGene00006975)	overlapStart	inside	389	4369	TRUE	2406
chrIII:3877493-3877971	ELT2peak03497	pax-3 (WBGene00003939)	tir-1 (WBGene00006575)	inside	inside	1788	7902	TRUE	2407
chrI:1791021-1791829	ELT2peak00118	hrg-7 (WBGene00007605)	ddx-27 (WBGene00022148)	overlapStart	downstream	359	864	TRUE	2408
chrIV:2676235-2676755	ELT2peak04874	klp-6 (WBGene00002218)	Y94H6A.3 (WBGene00022376)	inside	overlapStart	382	243	TRUE	2409
chrII:8124795-8125289	ELT2peak02345	C16A11.2 (WBGene00015815)	ire-1 (WBGene00002147)	inside	overlapStart	2525	115	TRUE	2410
chrIII:11248626-11249765	ELT2peak04432	pqn-41 (WBGene00004128)	rsks-1 (WBGene00012929)	unmapped ± 5Kb	inside	7315	2516	TRUE	2411
chrV:6950396-6951137	ELT2peak06819	psr-1 (WBGene00004205)	T07H8.11 (WBGene00304201)	overlapStart	overlapEnd	100	252	TRUE	2412
chrX:2703837-2704557	ELT2peak08454	W03F9.2 (WBGene00021000)	igcm-3 (WBGene00020160)	overlapStart	inside	271	1302	TRUE	2413
chrII:14357717-14358393	ELT2peak03052	pde-4 (WBGene00020114)	pfs-2 (WBGene00011051)	unmapped ± 5Kb	overlapStart	11502	27	TRUE	2414
chrV:5930528-5931141	ELT2peak06681	Y46C8AM.1 (WBGene00271795)	galt-1 (WBGene00019763)	inside	overlapStart	294	294	TRUE	2415
chrIII:9058862-9059532	ELT2peak04177	Y46E12BR.1 (WBGene00021598)	gst-1 (WBGene00001749)	overlapEnd	overlapStart	84	218	TRUE	2416
chrIV:13297610-13298436	ELT2peak06031	zip-1 (WBGene00006986)	Y67H2A.2 (WBGene00013461)	inside	overlapStart	1620	259	TRUE	2417
chrV:348975-349482	ELT2peak06298	fln-1 (WBGene00022048)	atg-9 (WBGene00020706)	inside	overlapStart	3491	108	TRUE	2418
chrX:9833107-9834030	ELT2peak09328	ech-3 (WBGene00001152)	ipla-2 (WBGene00009801)	overlapStart	overlapEnd	210	245	TRUE	2419
chrIV:1980883-1981637	ELT2peak04833	B0393.9 (WBGene00044636)	Y76B12C.6 (WBGene00022300)	overlapStart	overlapStart	147	231	TRUE	2420
chrV:8273937-8274808	ELT2peak06921	bec-1 (WBGene00000247)	asp-5 (WBGene00000218)	overlapStart	overlapEnd	130	109	TRUE	2421
chrX:11289881-11290599	ELT2peak09493	mbk-1 (WBGene00003149)	F38B2.4 (WBGene00009531)	inside	upstream	897	2164	TRUE	2422
chrV:6355092-6355560	ELT2peak06739	mec-10 (WBGene00003174)	bcl-11 (WBGene00017430)	upstream	upstream	66	465	TRUE	2423
chrI:14179488-14180236	ELT2peak01357	T26H5.14 (WBGene00235133)	pry-1 (WBGene00004202)	upstream	upstream	46	128	TRUE	2424
