	IPR001723:Steroid hormone receptor	GO:0003707~steroid hormone receptor activity	DNA-binding region:Nuclear receptor	zinc finger region:NR C4-type	IPR001628:Zinc finger, nuclear hormone receptor-type	IPR013088:Zinc finger, NHR/GATA-type	IPR000536:Nuclear hormone receptor, ligand-binding, core	GO:0043401~steroid hormone mediated signaling pathway	SM00430:HOLI	SM00399:ZnF_C4	Receptor	GO:0008270~zinc ion binding	Zinc-finger	GO:0043565~sequence-specific DNA binding	GO:0003700~transcription factor activity, sequence-specific DNA binding	Transcription regulation	DNA-binding	Transcription	GO:0006351~transcription, DNA-templated	GO:0003677~DNA binding	GO:0006355~regulation of transcription, DNA-templated	Nucleus	
Nucleolar complex protein 3 homolog(C37H5.5)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Pre-rRNA-processing protein TSR1 homolog(tag-151)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Acetoacetyl-CoA synthetase(sur-5)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
NAD-dependent protein deacetylase sir-2.1(sir-2.1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
mRNA Capping Enzyme Like(cel-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Probable ribosome biogenesis protein RLP24(rpl-24.2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
DOT1 histone methyltransferase family(dot-1.1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
COP9 signalosome complex subunit 4(csn-4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Proteasome subunit beta type-3(pbs-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ubiquitin-Like Protease(ulp-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Probable 26S protease regulatory subunit 4(rpt-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Probable DNA replication complex GINS protein PSF2(psf-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Serine/threonine-protein kinase plk-2(plk-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Protein SEC13 homolog(npp-20)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
XO lethal protein 1(xol-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
NTF2-related eXporT protein(nxt-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Nuclear migration protein unc-83(unc-83)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Replication factor C subunit 4(rfc-4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Single-stranded DNA-binding protein homolog sam-10(sam-10)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
O-linked GlcNAc Transferase(ogt-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Proteasome subunit alpha type-5(pas-5)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ubiquitin-conjugating enzyme E2 25(ubc-25)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
hypothetical protein(mig-38)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
14-3-3-like protein 1(par-5)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ribosome biogenesis protein BOP1 homolog(Y48B6A.1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Probable splicing factor, arginine/serine-rich 5(rsp-5)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
BMP Receptor Associated protein family(bra-1)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	
hypothetical protein(Y119C1B.5)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	
Putative peroxisome assembly protein 12(prx-12)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	
hypothetical protein(M110.3)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	
Ubiquitin carboxyl-terminal hydrolase(usp-3)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	
Ubiquitin carboxyl-terminal hydrolase(usp-5)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	
hypothetical protein(lsy-13)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	
PHd Finger family(phf-15)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	
NHL (ring finger b-box coiled coil) domain containing(nhl-3)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	
hypothetical protein(tag-294)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	
Protein lin-41(lin-41)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	
hypothetical protein(C17H11.6)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	
hypothetical protein(F08G12.5)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	
ATP-dependent RNA helicase glh-4(glh-4)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	
PHd Finger family(phf-14)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	
B-box type zinc finger protein ncl-1(ncl-1)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	
hypothetical protein(F56F3.4)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	
DNA polymerase(pole-1)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	
hypothetical protein(Y75B8A.6)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	
CAMTA (CAlModulin-binding Transcriptional activator)(camt-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	
MBF (multiprotein bridging factor) transcriptional coactivator(mbf-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	
hypothetical protein(C29F9.6)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	
hypothetical protein(Y105C5A.15)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	
hypothetical protein(K09A11.1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	
LIM Domain Binding protein(ldb-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	
Nuclear transcription Factor Y, A (alpha) subunit(nfya-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	
TAF (TBP-associated transcription factor) family(taf-4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	
LIM domain-containing protein pin-2(pin-2)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	
Single-stranded DNA-binding protein, mitochondrial(mtss-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	
DNA polymerase(Y47D3A.29)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	
bZIP transcription factor family(zip-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	
DNA polymerase(Y37B11A.2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	
AT hook-containing protein attf-4(attf-4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	
Hypoxia-inducible factor prolyl hydroxylase(egl-9)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	
Muscleblind-like protein(mbl-1)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	
Chromosome condensation protein dpy-27(dpy-27)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	
RNA Polymerase II (B) subunit(rpb-12)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	
hypothetical protein(K04C2.2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	
MeDiaTor(mdt-26)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	
C. Elegans Y-box(cey-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	
ARID (AT-rich Interactive Domain-containing protein) homolog(arid-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	
Probable DNA-directed RNA polymerase III subunit RPC6(W09C3.4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	
ATP-dependent RNA helicase SUV3 homolog, mitochondrial(C08F8.2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
Probable replication factor C subunit 5(F44B9.8)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
Protein lin-61(lin-61)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	
Nucleoporin NUP53(npp-19)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	
hypothetical protein(F22D6.2)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	
Zinc finger Ran-binding domain-containing protein 2(Y25C1A.8)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	
Histone-lysine N-methyltransferase(set-16)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	
Zinc finger protein ZPR1 homolog(W03F9.1)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	
BRCA1-associated RING domain protein 1(brd-1)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	
Protein lin-15B(lin-15B)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	
DM (Doublesex/MAB-3) Domain family(dmd-6)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	
bZIP transcription factor family(zip-7)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	
bZIP transcription factor family(zip-6)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	
AP-2 Transcription Factor family(aptf-4)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	
hypothetical protein(let-607)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	
Activating Transcription Factor associated with Stress(atfs-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	
DM (Doublesex/MAB-3) Domain family(dmd-7)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	
DNA PRImase homolog(pri-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	
hypothetical protein(Y37F4.6)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	
myelin regulatory factor related(myrf-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	
myelin regulatory factor related(myrf-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	
DNA-directed RNA polymerase subunit beta(rpoa-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	
Histone H4(his-37)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	
Histone H3-like centromeric protein hcp-3(hcp-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	
Histone H1.2(hil-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	
C. Elegans Homeobox(ceh-99)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	
Histone H1.1(his-24)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 homolog(M03C11.8)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	
HIStone(his-72)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	
DNA helicase(mcm-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	
DNA helicase(mcm-4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	
Histone H1.3(hil-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	
Histone H3(his-59)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	
DNA-directed RNA polymerase subunit(rpoa-1)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	
bZIP transcription factor family(zip-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	
C/EBP (CCAAT/enhancer-binding protein) homolog(cebp-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	
CREB Homolog(crh-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	
DNA polymerase delta catalytic subunit(F10C2.4)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	
Putative zinc finger protein C02F5.12(C02F5.12)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	
Zinc finger protein lin-13(lin-13)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	
Transitional endoplasmic reticulum ATPase homolog 1(cdc-48.1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	
Cyclin-dependent kinase 7(cdk-7)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	
hypothetical protein(sem-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	
Probable DNA-directed RNA polymerase II subunit RPB11(rpb-11)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	
Homeobox protein unc-62(unc-62)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	
Histone H2A(his-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	
Zinc Finger Protein(zfp-1)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	
Lin-12 And Glp-1 phenotype(lag-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	
bZIP transcription factor family(zip-11)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	
Sex-determining transformer protein 1(tra-1)	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	
Zinc finger protein sdc-3(sdc-3)	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	
Protein pop-1(pop-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	
hypothetical protein(F26F4.8)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	
Homeobox protein ceh-5(ceh-5)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	
hypothetical protein(unc-39)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	
Cell division cycle protein 73(cdc-73)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	
Bromodomain-containing protein bet-1(bet-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	
Maternal Effect Sterile(mes-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	
Sop-2-related protein 3(sor-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	
Serine/threonine-protein kinase tousled-like 1(tlk-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	
CREB-regulated transcription coactivator 1 homolog(crtc-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	
RuvB-like 2(ruvb-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	
Protein lag-3(sel-8)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	
RNA polymerase II-associated factor 1 homolog(pafo-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	
Period protein homolog lin-42(lin-42)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	
Histone deacetylase 4(hda-4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	
Polycomb protein mes-6(mes-6)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	
Mediator of RNA polymerase II transcription subunit 22(mdt-22)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	
Suppressor of PResenilin defect(spr-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	
Transcription elongation factor B polypeptide 3(R03D7.4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	
Daf-12-interacting protein 1(din-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	
Probable histone chaperone asf-1(unc-85)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	
Beta-catenin/armadillo-related protein 1(bar-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	
JHDM (histone demethylase) homolog(jhdm-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	
Mediator of RNA polymerase II transcription subunit 1.1(sop-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	
Bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66(jmjc-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	
Histone-lysine N-methyltransferase mes-2(mes-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	
hypothetical protein(lin-40)	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	1	
Zinc Finger and Homeobox(zfh-2)	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	1	
Heat Shock Factor(hsf-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	
see eff(elf-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	
C. Elegans Homeobox(ceh-8)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	
Protein male abnormal 3(mab-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	
ETS class transcription factor(ets-9)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	
kNOB-like posterior (NO Backside)(nob-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	
ETS class transcription factor(ets-5)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	
B lymphocyte-induced maturation protein 1 homolog(blmp-1)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1	
Lysine-specific demethylase 4(jmjd-2)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1	
Transcription elongation factor 1 homolog(Y54G11A.11)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1	
JuMonJi (transcription factor) Domain protein(jmjd-1.2)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	1	
Protein lin-49(lin-49)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	1	
Probable histone-lysine N-methyltransferase lin-59(lin-59)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	1	
NURF (nucleosome remodeling factor) complex homolog(nurf-1)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	1	
Nuclear receptor corepressor 1(gei-8)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	
Homeobox protein ceh-38(ceh-38)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	
Protein lin-14(lin-14)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	
Homeobox protein ceh-39(ceh-39)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	
Suppressor of Activated EGL-4(saeg-1)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	1	
ForKHead transcription factor family(fkh-7)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	
C. Elegans Homeobox(ceh-18)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	
Transcription factor unc-3(unc-3)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	
Protein odd-skipped-related 1(odd-1)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	
related to vertebrate MEF2 transcription factor(mef-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	
Dwarfin sma(daf-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	
Dwarfin sma(daf-8)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	
E2F-like (mammalian transcription factor)(efl-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	
T-box protein 12(mab-9)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	
RFX-like transcription factor daf-19(daf-19)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	
T-box protein 2(tbx-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	
Transcription enhancer factor-like protein egl-44(egl-44)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	
Putative transcription elongation factor S-II(T24H10.1)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	
Zinc finger protein unc-98(unc-98)	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	
Defective pharyngeal development protein 4(pha-4)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	
Protein skinhead-1(skn-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	
Signal transducer and activator of transcription 1(sta-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	
Transcription factor jun-1(jun-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	
Transcription factor fos-1(fos-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	
Forkhead box protein O(daf-16)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	
Egg-laying defective protein 27(egl-27)	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	
Nuclear hormone receptor family member daf-12(daf-12)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear Hormone Receptor family(nhr-146)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear Hormone Receptor family(nhr-78)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear hormone receptor family member nhr-71(nhr-71)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear Hormone Receptor family(nhr-182)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear Hormone Receptor family(nhr-208)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
GEX Interacting protein(nhr-27)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear Hormone Receptor family(nhr-277)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear Hormone Receptor family(nhr-184)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear Hormone Receptor family(nhr-132)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear Hormone Receptor family(nhr-66)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear Hormone Receptor family(nhr-45)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear Hormone Receptor family(nhr-137)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear Hormone Receptor family(nhr-135)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear Hormone Receptor family(nhr-109)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear Hormone Receptor family(nhr-32)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear Hormone Receptor family(nhr-102)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear Hormone Receptor family(nhr-255)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Nuclear Hormone Receptor family(nhr-256)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
