	domain:Protein kinase	active site:Proton acceptor	binding site:ATP	nucleotide phosphate-binding region:ATP	IPR008271:Serine/threonine-protein kinase, active site	IPR017441:Protein kinase, ATP binding site	Serine/threonine-protein kinase	SM00220:S_TKc	GO:0004674~protein serine/threonine kinase activity	IPR000719:Protein kinase, catalytic domain	GO:0004672~protein kinase activity	GO:0006468~protein phosphorylation	IPR011009:Protein kinase-like domain	Kinase	GO:0016301~kinase activity	GO:0016310~phosphorylation	GO:0016740~transferase activity	Transferase	ATP-binding	Nucleotide-binding	GO:0005524~ATP binding	GO:0000166~nucleotide binding	
Dicer Related Helicase(drh-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	
GIT1 (mammalian G protein-coupled receptor kinase InTeractor 1) homolog(git-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	
PIP Kinase(ppk-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	
AMP-Activated Kinase Beta subunit(aakb-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	
GUanylate Kinase(guk-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	
hypothetical protein(W07G4.3)	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	
Inactive tyrosine-protein kinase RYK(lin-18)	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	
Choline Kinase A(cka-1)	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	
mRNA Capping Enzyme Like(cel-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	
Pyruvate kinase(pyk-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	
Lon protease homolog 2, peroxisomal(Y75B8A.4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Actin-4(act-4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
P-GlycoProtein related(pgp-5)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Probable succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial(suca-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Multidrug resistance protein pgp-1(pgp-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Peroxisomal Membrane Protein related(pmp-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Kinesin-like protein(klp-6)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
hypothetical protein(mrp-7)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Probable GMP synthase [glutamine-hydrolyzing](gmps-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
ACTin(act-5)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Probable methylcrotonoyl-CoA carboxylase beta chain, mitochondrial(F02A9.4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Alanine--tRNA ligase, mitochondrial(aars-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
HAlF transporter (PGP related)(haf-7)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
hypothetical protein(T14G8.3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
MethylCrotonoyl-Coenzyme A Carboxylase (alpha)(mccc-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
DEAD boX helicase homolog(ddx-17)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
hypothetical protein(spe-15)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Threonine--tRNA ligase, cytoplasmic(tars-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Chaperonin homolog Hsp-60, mitochondrial(hsp-60)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Heat Shock Protein(hsp-70)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
T-complex protein 1 subunit alpha(cct-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
hypothetical protein(rad-51)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
DNA helicase(mcm-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
HAlF transporter (PGP related)(haf-9)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Acetoacetyl-CoA synthetase(sur-5)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Phenylalanine--tRNA ligase beta subunit(fars-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
DNA helicase(mcm-4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
GLutamiNe synthetase (glutamate-ammonia ligase)(gln-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
hypothetical protein(F56F11.4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
RuvB-like 2(ruvb-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Heat shock 70 kDa protein A(hsp-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Actin-2(act-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Actin-1(act-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
CTP synthase(ctps-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Actin-related protein 3(arx-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
T-complex protein 1 subunit beta(cct-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Cation transporting ATPase(catp-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Non-muscle MYosin(nmy-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Vasa-and Belle-like Helicase(vbh-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Kinesin-like protein(klp-4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Probable manganese-transporting ATPase catp-8(catp-8)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Asparagine--tRNA ligase, cytoplasmic(nars-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Heavy chain, Unconventional Myosin(hum-5)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Calcium-transporting ATPase(mca-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
P-GlycoProtein related(pgp-9)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
hypothetical protein(T24H7.2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Chaperonin Containing TCP-1(cct-5)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
hypothetical protein(smgl-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
PIP Kinase(ppk-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	
Inositol 1,3,4,5,6-PentakisPhosphate 2-Kinase homolog(ippk-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	
Let-23 Fertility Effector/regulator(lfe-2)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	
hypothetical protein(tag-96)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	
Propionyl-CoA carboxylase alpha chain, mitochondrial(pcca-1)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
PYruvate Carboxylase(pyc-1)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Masculinisation Of Germline(mog-4)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Probable replication factor C subunit 5(F44B9.8)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Transitional endoplasmic reticulum ATPase homolog 1(cdc-48.1)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Kinesin-like protein unc-104(unc-104)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Lysine--tRNA ligase(kars-1)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Mitotic chromosome and X-chromosome-associated protein mix-1(mix-1)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Vesicle-fusing ATPase(nsf-1)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
mRNA transport homolog 4(mtr-4)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
hypothetical protein(let-355)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Probable 26S protease regulatory subunit 4(rpt-2)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Cytosolic Fe-S cluster assembly factor NUBP1 homolog(nubp-1)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 homolog(M03C11.8)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
ATP-dependent RNA helicase SUV3 homolog, mitochondrial(C08F8.2)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Replication factor C subunit 4(rfc-4)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
Chromosome condensation protein dpy-27(dpy-27)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
V-type proton ATPase catalytic subunit A(vha-13)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
ATP-dependent RNA helicase glh-4(glh-4)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
ABC transporter ATP-binding protein/permease wht-3(wht-3)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
26S protease regulatory subunit 7(rpt-1)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
PhosphoInositide Four Kinase (PI-4 Kinase)(pifk-1)	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	
Heat shock protein 90(daf-21)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	
PAB-dependent poly(A)-specific ribonuclease subunit PAN3(panl-3)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	
hypothetical protein(W03G9.5)	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	
hypothetical protein(C28A5.6)	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	
hypothetical protein(F25F2.1)	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	
Poly(A) RNA polymerase gld-4(gld-4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	
Probable ubiquitin-conjugating enzyme E2 7(ubc-7)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	
Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial(Y41D4A.6)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	
Ubiquitin-conjugating enzyme E2 25(ubc-25)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	
MeValonate Kinase(mvk-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	
hypothetical protein(F53C3.1)	0	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	
Probable S-adenosylmethionine synthase 1(sams-1)	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	
Probable S-adenosylmethionine synthase 3(sams-3)	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	
Receptor-type guanylate cyclase gcy-28(gcy-28)	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	
hypothetical protein(ZK524.4)	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	
Protein nipi-3(nipi-3)	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	1	
Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase(F46F11.1)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	
Phosphotransferase(hxk-1)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	
UMP-CMP kinase 1(C29F7.3)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	
NAD kinase 2, mitochondrial(Y17G7B.10)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	
Phosphotransferase(hxk-3)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	
Protein roller-3(rol-3)	1	0	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	
Ribosomal protein S6 Kinase Delta homolog(rskd-1)	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	
Adenylate kinase isoenzyme 1(F38B2.4)	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	
Choline kinase A2(cka-2)	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	
Probable arginine kinase F46H5.3(F46H5.3)	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	
protein KINase(kin-4)	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	
MAP kinase iNtegrating Kinase (MNK) homolog(mnk-1)	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	
Serine/threonine-protein kinase RIO1(riok-1)	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	
Serine/threonine-protein kinase smg-1(smg-1)	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	
Tyrosine-protein kinase receptor cam-1(cam-1)	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	
Target of rapamycin homolog(let-363)	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	
Insulin-like receptor subunit beta(daf-2)	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	
Serine/threonine-protein kinase pak-2(pak-2)	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Tyrosine-protein kinase abl-1(abl-1)	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	
Tyrosine-protein kinase sid-3(sid-3)	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	
Serine/threonine-protein kinase WNK(wnk-1)	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Dual specificity mitogen-activated protein kinase kinase mek-1(mek-1)	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Germinal Center Kinase family(gck-1)	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Mitogen-activated protein kinase sma-5(sma-5)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
hypothetical protein(F28C10.3)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Cyclin-dependent kinase 4 homolog(cdk-4)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Calcium/calmodulin-dependent protein kinase type II(unc-43)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Cyclin-dependent kinase 7(cdk-7)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Dual specificity mitogen-activated protein kinase kinase sek-1(sek-1)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Myotonic dystrophy-Related, Cdc42-binding Kinase homolog(mrck-1)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Serine/threonine-protein kinase prk-2(prk-2)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Casein kinase I gamma(csnk-1)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Non-specific serine/threonine protein kinase(max-2)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Ribosomal protein S6 kinase beta(rsks-1)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Mitogen-activated protein kinase kinase kinase nsy-1(nsy-1)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Homeodomain-interacting protein kinase 1(hpk-1)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Protein Kinase, cGMP-dependent(pkg-2)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Protein Kinase N (PKN) homolog(pkn-1)	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Leucine-rich repeat serine/threonine-protein kinase 1(lrk-1)	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Dual-Leucine zipper Kinase(dlk-1)	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Cell surface receptor daf-4(daf-4)	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
IRE1 kinase related(ire-1)	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Mitogen-activated protein kinase pmk-1(pmk-1)	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Mitogen-activated protein kinase kinase kinase mom-4(mom-4)	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Mitogen-activated protein kinase pmk-3(pmk-3)	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Putative ribosomal protein S6 kinase alpha-2(rskn-2)	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Rho-associated protein kinase let-502(let-502)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Dual specificity tyrosine-phosphorylation-regulated kinase mbk-2(mbk-2)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Eukaryotic translation initiation factor 2-alpha kinase pek-1(pek-1)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Serine/threonine-protein kinase pak-1(pak-1)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
SR Protein Kinase(spk-1)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Serine/threonine-protein kinase par-1(par-1)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Serine/threonine-protein kinase akt-1(akt-1)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Serine/threonine-protein kinase tousled-like 1(tlk-1)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Serine/threonine-protein kinase akt-2(akt-2)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Serine/threonine-protein kinase plk-2(plk-2)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
MAP kinase kinase mkk-4(mkk-4)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Protein kinase C-like 3(pkc-3)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
cAMP-dependent protein kinase catalytic subunit(kin-1)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Serine/threonine-protein kinase dkf-2(dkf-2)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Casein kinase II subunit alpha(kin-3)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Mitogen-activated protein kinase mpk-1(mpk-1)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Membrane-associated tyrosine-and threonine-specific cdc2-inhibitory kinase wee-1.3(wee-1.3)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Cyclin-dependent kinase 12(cdk-12)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
G protein-coupled receptor kinase 1(grk-1)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Serine/threonine-protein kinase sma-6(sma-6)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Serine/threonine-protein kinase mig-15(mig-15)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
